,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
0,turn,make,know,baby,love love,away,bitch,love,girl,let
1,light,say,know know,want,love,tonight,fuck,heart,want,know
2,low,just,want,dance,want,life,shit,la,know,want
3,high,time,just,ooh,baby,just,nigga,want,just,love
4,low low,know,say,just,know,run,ayy,know,baby,just
5,just,way,right,ooh ooh,girl,want,want,fall,say,say
6,know,want,tell,know,right,time,money,make,boy,make
7,baby,feel,make,feel,say,know,big,feel,make,come
8,low low low,come,feel,love,thing,say,know,way,love,good
9,tell,need,think,want want,long,love,ass,say,man,baby
10,life,good,let,come,fall,make,just,just,tell,life
11,song,night,love,ooh ooh ooh,heart,look,say,break,like,time
12,dance,look,time,say,hard,good,hit,think,need,right
13,hand,right,baby,let,lose,come,ama,baby,good,need
14,want,think,come,need,feel,live,real,time,look,rock
15,come,tell,look,make,need,fall,tell,need,let,way
16,say,try,girl,tell,try,day,look,tell,come,think
17,play,leave,need,night,way,need,make,come,try,look
18,hit,long,night,good,come,feel,come,leave,right,ride
19,feel,day,way,way,night,hand,really,bad,thing,leave
